id,make,model,year,price,mileage,engine_size,fuel_type,transmission,doors,color,tax,mpg,sold_date
266,Ford,Model D,2012,22927,100221,2.3,Gasoline,Manual,4,Silver,253,27.1,2023-02-03
267,Ford,Model D,2015,7628,124879,4.2,Hybrid,Manual,4,White,249,17.9,2022-01-18
268,Toyota,Model D,2016,9843,35479,4.7,Hybrid,Manual,3,Red,474,35.1,2020-09-02
269,Honda,Model D,2005,14132,187244,2.4,Diesel,Manual,3,Red,157,37.4,2023-01-09
270,Toyota,Model A,2015,16894,109165,2.2,Gasoline,Automatic,3,Grey,162,15.0,2021-10-23
271,BMW,Model D,2009,12327,65863,1.8,Hybrid,Manual,3,Blue,255,41.5,2022-06-27
272,Volkswagen,Model A,2019,19748,183115,3.7,Hybrid,Automatic,4,White,455,10.7,2021-01-30
273,Toyota,Model D,2009,17104,92569,2.3,Gasoline,Manual,5,Blue,421,29.3,2021-06-05
274,Ford,Model C,2016,27496,156480,5.0,Hybrid,Manual,5,Black,267,23.2,2022-07-14
275,Volkswagen,Model B,2009,16676,199052,2.3,Gasoline,Manual,5,Red,265,39.6,2020-09-20
276,Volkswagen,Model A,2021,3992,26351,2.6,Hybrid,Automatic,2,Grey,184,22.5,2022-02-28
277,Ford,Model D,2021,20880,145203,3.4,Gasoline,Manual,3,Black,236,43.1,2023-07-21
278,Toyota,Model C,2016,19900,54825,4.2,Diesel,Manual,3,Grey,288,33.8,2020-06-20
279,Ford,Model B,2019,13965,21349,2.9,Hybrid,Automatic,4,Silver,499,41.8,2020-09-21
280,Honda,Model A,2019,20664,54254,2.7,Diesel,Automatic,4,Red,478,49.6,2022-11-15
281,Volkswagen,Model B,2010,12473,48225,5.0,Hybrid,Automatic,2,Black,101,37.2,2021-04-20
282,Chevrolet,Model C,2016,22308,22453,1.0,Hybrid,Automatic,2,Silver,205,49.4,2020-12-21
283,Chevrolet,Model A,2022,38430,159886,4.6,Electric,Manual,5,Black,463,11.2,2022-11-15
284,BMW,Model B,2018,7360,159335,1.6,Gasoline,Automatic,4,Grey,171,23.5,2020-02-03
285,Ford,Model D,2006,16386,87694,4.1,Diesel,Manual,3,Silver,225,14.3,2020-09-20
286,Ford,Model A,2013,15264,25735,3.5,Diesel,Manual,5,Silver,269,20.5,2023-03-07
287,BMW,Model B,2009,16967,156902,2.4,Diesel,Automatic,3,Red,304,43.6,2022-03-26
288,BMW,Model C,2005,27139,57893,4.5,Gasoline,Manual,5,Blue,412,11.3,2022-05-24
289,BMW,Model C,2007,23799,185745,1.1,Electric,Automatic,3,Grey,436,30.8,2022-01-23
290,Volkswagen,Model A,2010,25941,137006,1.9,Diesel,Manual,2,Grey,294,32.7,2021-07-19
291,Honda,Model B,2009,20213,55066,3.3,Gasoline,Automatic,5,Silver,257,32.4,2021-04-06
292,Ford,Model A,2009,10745,144445,2.4,Hybrid,Automatic,3,Silver,240,29.0,2023-04-06
293,Volkswagen,Model A,2005,12197,151407,3.4,Diesel,Automatic,3,Red,374,41.6,2021-10-16
294,BMW,Model B,2021,25223,164813,1.1,Diesel,Automatic,4,Blue,106,15.3,2020-03-21
295,Ford,Model B,2018,21195,20692,1.5,Electric,Automatic,5,Grey,492,22.4,2022-01-26
296,Volkswagen,Model D,2016,28821,188367,1.5,Diesel,Automatic,3,White,153,34.6,2022-05-19
297,Honda,Model B,2014,22052,55541,1.8,Diesel,Manual,4,White,203,37.6,2023-12-01
298,Volkswagen,Model C,2022,11718,175129,2.8,Hybrid,Manual,3,Blue,441,26.2,2022-12-05
299,Honda,Model A,2015,16346,76983,4.0,Gasoline,Manual,5,Black,437,45.0,2021-08-21
300,BMW,Model A,2006,23953,160655,4.6,Gasoline,Automatic,2,Red,160,26.6,2022-03-17
301,Honda,Model C,2022,24972,163837,4.3,Electric,Manual,5,Blue,186,26.1,2022-12-12
302,Ford,Model B,2011,25985,164978,1.8,Hybrid,Automatic,5,White,357,11.4,2022-09-10
303,BMW,Model C,2019,12660,130747,2.8,Gasoline,Manual,3,Silver,277,32.0,2021-12-04
304,Ford,Model C,2015,11592,95103,1.8,Hybrid,Manual,3,White,341,38.3,2021-04-20
305,Chevrolet,Model D,2022,18671,187597,2.1,Gasoline,Automatic,5,Silver,302,14.6,2021-08-14
306,Toyota,Model C,2016,30080,179302,3.0,Hybrid,Manual,4,Red,130,22.2,2020-01-16
307,Honda,Model A,2010,15142,160592,1.3,Electric,Manual,4,Silver,388,41.3,2023-10-15
308,Toyota,Model C,2017,23184,193006,1.9,Diesel,Manual,4,Blue,179,24.6,2021-05-01
309,Toyota,Model A,2020,23185,35566,4.7,Electric,Automatic,3,Silver,110,19.7,2021-12-06
310,Honda,Model A,2022,25325,83193,2.9,Gasoline,Manual,3,Black,353,36.9,2023-03-10
311,BMW,Model A,2014,31651,171206,2.8,Electric,Automatic,5,Blue,483,17.9,2021-09-11
312,Chevrolet,Model B,2012,30933,151417,1.1,Diesel,Manual,2,Red,490,45.8,2022-10-15
313,Ford,Model D,2022,15837,131015,2.0,Electric,Manual,3,Blue,483,14.2,2022-02-15
314,Volkswagen,Model A,2005,5314,182257,4.5,Gasoline,Manual,5,Black,386,38.3,2021-03-22
315,Ford,Model A,2012,15250,140956,1.7,Gasoline,Manual,5,Red,275,30.0,2020-10-16
316,Volkswagen,Model B,2010,20529,80744,2.7,Electric,Automatic,2,White,225,44.8,2020-07-27
317,Ford,Model A,2009,17468,43455,1.1,Diesel,Manual,4,Black,146,15.0,2021-02-16
318,Honda,Model C,2019,33775,169090,2.9,Electric,Automatic,5,Red,305,37.1,2021-11-07
319,Chevrolet,Model C,2019,20131,64219,1.1,Diesel,Automatic,5,Silver,206,32.9,2023-12-21
320,Volkswagen,Model D,2006,24575,55991,4.3,Hybrid,Manual,5,Blue,374,29.2,2023-10-26
321,BMW,Model A,2005,21520,83616,4.3,Diesel,Manual,4,Red,436,29.7,2021-10-25
322,Ford,Model B,2015,17573,97438,4.2,Hybrid,Automatic,4,Blue,222,38.9,2020-10-16
323,Ford,Model C,2014,6526,126841,2.1,Electric,Automatic,2,Silver,233,47.5,2023-12-26
324,Volkswagen,Model B,2022,19449,150558,4.3,Diesel,Manual,3,Red,206,13.7,2023-07-15
325,BMW,Model B,2022,42782,179934,3.2,Hybrid,Manual,4,White,404,10.8,2020-05-30
326,BMW,Model C,2021,11288,68870,2.5,Hybrid,Manual,3,Black,428,42.2,2023-07-02
327,Honda,Model B,2012,7295,96694,3.5,Hybrid,Manual,3,Red,149,14.3,2023-10-08
328,Honda,Model C,2019,33554,53856,1.0,Gasoline,Manual,4,Silver,436,49.5,2023-11-01
329,Honda,Model B,2012,25194,111407,1.6,Electric,Automatic,5,Red,194,34.8,2022-05-04
330,Honda,Model C,2021,21311,41379,4.0,Hybrid,Manual,2,Blue,367,36.0,2023-10-13
331,Honda,Model A,2016,29538,74729,2.0,Diesel,Manual,3,Grey,122,18.0,2021-08-30
332,Honda,Model D,2012,14179,169450,3.4,Hybrid,Automatic,5,Red,153,19.6,2021-01-04
333,Chevrolet,Model C,2018,19253,64353,2.5,Gasoline,Manual,4,White,473,36.4,2023-06-04
334,BMW,Model C,2008,26686,191068,4.4,Electric,Manual,3,Red,353,46.4,2021-12-05
335,Honda,Model D,2005,34772,24031,4.8,Gasoline,Automatic,3,Black,334,49.3,2023-08-19
336,BMW,Model C,2005,11820,75982,4.5,Gasoline,Manual,3,Red,158,17.9,2022-04-05
337,BMW,Model C,2020,28965,46683,2.1,Gasoline,Automatic,5,Grey,263,15.4,2022-10-01
338,Toyota,Model B,2018,22672,124091,1.8,Diesel,Manual,5,Blue,358,12.3,2023-11-13
339,Chevrolet,Model D,2020,21141,127797,2.9,Electric,Manual,5,Red,413,44.7,2021-01-11
340,Honda,Model A,2009,19945,158690,1.0,Electric,Manual,3,White,315,21.8,2022-08-30
341,Ford,Model C,2013,10307,16587,1.1,Diesel,Automatic,3,Silver,282,10.1,2020-04-27
342,Volkswagen,Model D,2006,26741,72790,3.2,Electric,Automatic,2,Red,156,19.0,2022-10-25
343,Ford,Model B,2022,14524,41480,3.1,Gasoline,Automatic,2,Red,244,23.6,2021-03-19
344,Chevrolet,Model A,2010,12442,161599,5.0,Electric,Automatic,5,Black,189,49.6,2023-10-07
345,Volkswagen,Model D,2013,26198,33569,1.8,Diesel,Manual,5,White,410,30.9,2022-01-24
346,Chevrolet,Model A,2005,25523,21151,2.0,Gasoline,Automatic,4,Grey,144,18.2,2021-10-01
347,BMW,Model A,2013,20553,54739,1.5,Diesel,Automatic,5,Silver,356,23.4,2020-05-03
348,Volkswagen,Model A,2020,27556,42954,4.7,Hybrid,Automatic,2,Blue,120,23.2,2021-10-19
349,BMW,Model C,2017,29981,119373,4.1,Gasoline,Manual,2,Red,120,10.8,2023-07-24
350,Ford,Model C,2013,29157,176375,4.3,Gasoline,Manual,2,Grey,151,15.4,2022-04-01
351,Ford,Model B,2017,16302,44700,4.6,Electric,Automatic,3,Silver,437,37.8,2023-11-18
352,Volkswagen,Model B,2013,27098,133728,3.1,Gasoline,Automatic,3,Blue,270,14.8,2021-10-25
353,Volkswagen,Model D,2015,21481,76788,2.8,Diesel,Manual,5,Grey,166,19.2,2020-12-25
354,Honda,Model B,2008,32081,81045,2.3,Electric,Automatic,4,White,212,24.0,2021-09-14
355,Chevrolet,Model A,2006,19133,178914,3.4,Hybrid,Automatic,4,White,399,40.3,2022-12-16
356,Honda,Model A,2010,17504,154972,2.8,Diesel,Automatic,4,Silver,259,33.3,2023-06-28
357,Chevrolet,Model C,2018,15703,137992,2.8,Hybrid,Automatic,3,Blue,365,37.6,2022-07-07
358,Honda,Model A,2008,21325,90059,4.7,Hybrid,Manual,2,White,419,32.7,2023-03-19
359,BMW,Model D,2010,23267,11881,4.9,Hybrid,Manual,2,Silver,331,37.3,2021-03-27
360,Volkswagen,Model A,2010,23401,174109,4.2,Gasoline,Manual,3,White,424,10.1,2023-03-31
361,Ford,Model A,2006,22444,142702,4.0,Diesel,Automatic,4,White,167,47.2,2020-04-29
362,Chevrolet,Model D,2022,24697,30789,3.7,Diesel,Automatic,4,Grey,127,14.4,2021-08-04
363,Chevrolet,Model B,2017,18442,136083,1.7,Gasoline,Manual,5,Grey,215,26.2,2023-10-06
364,Ford,Model B,2013,13892,98059,1.2,Electric,Manual,5,White,150,40.8,2020-04-08
365,Honda,Model D,2017,13281,56151,3.8,Hybrid,Manual,4,Black,280,27.4,2023-04-05
366,Chevrolet,Model C,2015,26825,189992,3.9,Diesel,Automatic,3,Grey,359,47.9,2021-05-28
367,BMW,Model A,2005,23292,119388,1.2,Gasoline,Manual,4,Blue,178,28.7,2021-10-25
368,Volkswagen,Model D,2011,7009,13262,4.7,Hybrid,Automatic,5,Silver,372,45.0,2021-02-04
369,Ford,Model A,2019,27677,76981,1.4,Electric,Automatic,4,Silver,207,42.4,2020-12-30
370,Volkswagen,Model C,2005,33163,130951,2.1,Electric,Manual,3,Blue,173,49.2,2023-09-11
371,Chevrolet,Model A,2016,14988,133099,3.7,Hybrid,Manual,2,Blue,274,47.1,2021-08-03
372,Chevrolet,Model D,2011,22353,91972,1.7,Electric,Automatic,3,Blue,283,45.9,2021-09-12
373,Ford,Model A,2019,16685,85485,1.2,Diesel,Manual,3,Blue,122,39.3,2022-04-07
374,BMW,Model B,2005,24398,64722,2.3,Diesel,Manual,5,Red,373,24.7,2020-09-03
375,Toyota,Model C,2021,11837,99499,4.1,Diesel,Automatic,3,Silver,228,14.2,2021-03-09
376,Ford,Model C,2021,19499,191890,2.7,Electric,Automatic,3,Red,390,37.5,2023-01-21
377,Toyota,Model C,2007,26869,171004,3.6,Diesel,Automatic,5,White,419,49.1,2023-07-15
378,Honda,Model D,2016,28649,16901,3.3,Gasoline,Automatic,5,White,285,39.1,2021-09-06
379,Toyota,Model C,2010,22985,127473,1.1,Diesel,Automatic,2,Silver,158,47.1,2022-07-31
380,BMW,Model B,2015,17626,18597,5.0,Diesel,Manual,4,White,100,42.2,2022-08-20
381,Honda,Model D,2007,8851,139631,1.2,Electric,Automatic,3,Blue,230,16.5,2021-09-15
382,Toyota,Model B,2012,14697,73909,4.9,Diesel,Automatic,5,Red,166,20.0,2020-11-16
383,Honda,Model A,2018,16715,82391,3.2,Hybrid,Automatic,2,Blue,392,23.7,2022-05-05
384,Toyota,Model A,2018,15115,149335,4.9,Gasoline,Manual,4,White,384,16.7,2020-03-02
385,BMW,Model A,2014,20416,73293,1.5,Electric,Automatic,5,Grey,188,33.3,2020-10-26
386,Toyota,Model A,2006,17606,166877,3.0,Gasoline,Automatic,4,Red,199,49.0,2021-02-06
387,Toyota,Model B,2018,21204,21874,1.7,Hybrid,Automatic,4,Blue,288,40.5,2022-08-12
388,Toyota,Model D,2013,28418,96402,1.2,Electric,Manual,3,Silver,477,26.9,2023-08-19
389,Ford,Model D,2007,17154,24079,3.5,Electric,Automatic,3,Blue,445,10.2,2020-09-09
390,Ford,Model C,2012,10319,190922,1.8,Diesel,Automatic,5,Grey,487,22.5,2021-04-22
391,Ford,Model B,2020,15088,82779,3.4,Gasoline,Automatic,4,White,340,31.1,2023-10-24
392,BMW,Model A,2006,24085,105408,1.4,Hybrid,Manual,5,Red,369,23.0,2020-06-08
393,Honda,Model B,2010,24745,150090,2.3,Hybrid,Manual,5,Silver,318,14.4,2022-08-18
394,Chevrolet,Model C,2016,22842,130606,4.1,Electric,Manual,4,Red,275,27.7,2023-04-04
395,Toyota,Model C,2009,29105,190572,2.7,Diesel,Manual,5,Silver,486,20.1,2020-07-23
396,Toyota,Model B,2006,18695,130062,3.5,Electric,Automatic,4,Red,440,46.4,2023-07-14
397,BMW,Model B,2020,34365,22100,3.6,Electric,Automatic,4,White,332,14.1,2023-03-07
398,Toyota,Model B,2009,25727,67021,4.4,Electric,Manual,4,Silver,250,12.0,2023-10-23
399,Ford,Model D,2019,3000,160872,2.3,Electric,Manual,4,Black,376,10.2,2022-05-07
400,Chevrolet,Model A,2016,32604,138126,3.7,Hybrid,Automatic,2,Red,328,23.1,2022-01-29
401,Volkswagen,Model B,2008,14631,102446,4.8,Hybrid,Automatic,4,Red,270,36.4,2021-12-21
402,Toyota,Model B,2019,12761,39437,3.9,Electric,Manual,3,Blue,322,39.2,2022-11-06
403,Ford,Model B,2015,23666,187747,3.0,Electric,Manual,3,Silver,312,28.1,2020-03-08
404,Volkswagen,Model C,2020,7832,161014,3.5,Diesel,Manual,3,Grey,381,37.4,2020-05-12
405,Chevrolet,Model C,2010,15131,30862,4.0,Electric,Manual,4,Black,140,24.4,2022-07-07
406,Volkswagen,Model D,2018,30899,21669,3.4,Hybrid,Automatic,3,White,221,36.7,2021-03-05
407,Ford,Model A,2022,23893,131219,1.1,Gasoline,Manual,2,Blue,326,11.6,2020-11-03
408,Honda,Model D,2016,25685,194844,1.8,Hybrid,Manual,5,Black,393,25.6,2021-10-11
409,Honda,Model A,2015,15401,25916,4.2,Diesel,Automatic,4,Silver,187,41.6,2023-04-12
410,Volkswagen,Model C,2017,9231,20878,2.1,Hybrid,Automatic,3,Black,366,42.1,2021-02-15
411,BMW,Model C,2015,24947,12985,3.9,Gasoline,Automatic,2,Red,128,38.6,2020-04-06
412,Volkswagen,Model C,2020,26511,51235,2.5,Electric,Automatic,5,Red,346,18.2,2023-03-23
413,Toyota,Model D,2019,26194,28931,3.1,Gasoline,Automatic,2,Blue,415,19.9,2023-06-19
414,Toyota,Model B,2019,21463,102876,1.3,Electric,Manual,3,Silver,343,49.8,2023-08-20
415,Honda,Model B,2008,13230,10336,1.7,Electric,Manual,2,Silver,160,14.1,2023-08-01
416,BMW,Model C,2015,37064,52933,4.8,Hybrid,Manual,5,Black,246,17.2,2022-11-16
417,Ford,Model B,2019,23358,55536,4.6,Hybrid,Automatic,3,Blue,273,15.2,2023-11-26
418,Toyota,Model B,2008,18782,79504,3.6,Hybrid,Manual,5,Silver,377,23.1,2023-10-15
419,Honda,Model D,2017,18813,109214,2.8,Diesel,Automatic,2,Grey,433,18.4,2022-12-19
420,Chevrolet,Model A,2006,21047,192220,3.7,Hybrid,Manual,4,Grey,468,29.9,2020-07-20
421,Honda,Model C,2018,27487,123936,3.5,Diesel,Manual,4,Red,478,29.0,2022-01-31
422,Toyota,Model C,2008,21327,26279,3.3,Hybrid,Automatic,4,Black,241,46.1,2022-05-23
423,Toyota,Model D,2020,26009,113751,1.2,Electric,Automatic,4,White,143,11.4,2021-08-03
424,Honda,Model D,2018,21059,114433,3.5,Diesel,Manual,5,Red,243,22.8,2021-01-04
425,Ford,Model B,2019,19213,81386,4.1,Gasoline,Manual,4,Blue,452,33.9,2021-06-16
426,Volkswagen,Model C,2007,24488,96124,5.0,Diesel,Manual,5,Silver,432,34.2,2023-03-21
427,Toyota,Model A,2012,24223,115750,1.0,Diesel,Manual,3,Red,495,29.2,2023-01-30
428,Honda,Model D,2020,18812,87485,3.9,Gasoline,Manual,4,White,154,42.6,2022-06-17
429,Honda,Model A,2014,14755,84055,3.3,Diesel,Automatic,5,White,406,12.5,2021-08-29
430,BMW,Model A,2008,22392,101911,2.7,Electric,Automatic,4,Grey,457,42.6,2022-05-22
431,Volkswagen,Model C,2022,20548,108618,1.5,Hybrid,Automatic,4,Blue,260,29.8,2023-06-06
432,Chevrolet,Model C,2006,16115,195100,2.6,Gasoline,Automatic,4,Red,384,15.4,2023-02-22
433,Ford,Model D,2021,14103,123892,2.4,Hybrid,Manual,5,Black,424,45.4,2022-02-08
434,Chevrolet,Model C,2017,22873,81128,2.2,Electric,Manual,2,Red,297,36.0,2022-04-13
435,Volkswagen,Model C,2008,23850,159180,3.9,Gasoline,Automatic,4,Grey,258,16.5,2022-09-25
436,Volkswagen,Model C,2015,17479,62495,3.8,Hybrid,Manual,4,White,179,11.3,2022-07-26
437,Volkswagen,Model A,2011,15940,92806,3.4,Hybrid,Automatic,3,Blue,130,15.6,2020-08-23
438,Chevrolet,Model D,2016,14188,103185,4.8,Electric,Manual,2,Blue,211,34.4,2020-06-10
439,Volkswagen,Model B,2014,22675,197902,2.4,Hybrid,Manual,5,Black,145,17.2,2021-07-07
440,Honda,Model A,2011,14372,193581,2.0,Electric,Manual,3,Blue,452,19.0,2022-02-26
441,Chevrolet,Model C,2017,35687,180591,3.6,Diesel,Automatic,4,Grey,304,11.0,2023-10-08
442,Volkswagen,Model A,2011,17128,59649,1.8,Electric,Automatic,3,Grey,151,38.9,2022-12-27
443,Honda,Model C,2021,3023,175596,2.3,Diesel,Automatic,3,Grey,237,42.4,2023-04-11
444,BMW,Model C,2014,19788,174957,1.9,Gasoline,Automatic,4,Blue,173,41.9,2021-07-12
445,Volkswagen,Model A,2014,19488,185441,1.3,Hybrid,Manual,2,Blue,140,15.1,2020-09-17
446,Chevrolet,Model D,2008,27782,105402,4.3,Electric,Manual,2,Grey,176,46.1,2020-08-04
447,Toyota,Model C,2008,22016,40676,2.0,Electric,Manual,3,Blue,486,36.9,2023-02-21
448,Volkswagen,Model D,2011,14163,74093,2.9,Hybrid,Manual,4,Blue,286,45.9,2022-03-15
449,Toyota,Model B,2005,17995,188836,1.2,Hybrid,Automatic,5,White,469,27.9,2023-03-31
450,Honda,Model C,2016,22291,191871,3.8,Gasoline,Manual,3,Red,151,27.5,2020-07-19
451,BMW,Model D,2017,4847,89414,2.3,Gasoline,Manual,5,Silver,186,41.4,2021-02-05
452,Ford,Model D,2014,29370,103095,4.0,Electric,Manual,3,Blue,208,13.7,2020-10-01
453,BMW,Model B,2019,14181,82307,2.6,Gasoline,Automatic,3,Silver,496,30.8,2020-07-24
454,Volkswagen,Model D,2017,29919,105432,1.8,Diesel,Automatic,4,Silver,324,43.5,2022-11-29
455,Toyota,Model D,2013,22747,41923,3.1,Gasoline,Automatic,4,White,347,43.2,2023-07-20
456,Toyota,Model B,2013,24407,127449,1.5,Gasoline,Manual,5,Blue,168,48.2,2022-05-16
457,Chevrolet,Model C,2019,28045,57574,2.8,Electric,Automatic,5,Grey,219,37.9,2020-04-02
458,Toyota,Model D,2014,24011,184463,2.3,Diesel,Manual,2,Silver,166,18.3,2022-12-01
459,Chevrolet,Model D,2014,24710,131757,4.6,Gasoline,Manual,4,Blue,160,10.8,2021-01-13
460,Honda,Model D,2012,18849,63664,1.2,Diesel,Manual,3,Black,426,29.2,2023-02-04
461,Ford,Model A,2020,22605,77384,3.8,Diesel,Automatic,3,Grey,290,30.5,2023-09-13
462,Volkswagen,Model B,2021,15887,41027,1.7,Diesel,Automatic,2,Black,288,19.6,2020-03-05
463,Chevrolet,Model A,2009,17596,176536,2.3,Hybrid,Manual,4,Black,250,15.0,2020-12-30
464,Ford,Model B,2008,33752,44485,2.7,Hybrid,Manual,3,Silver,385,33.4,2022-03-31
465,Toyota,Model C,2022,14342,160528,4.6,Hybrid,Automatic,2,Black,195,40.6,2022-11-13
466,Toyota,Model C,2008,21080,45554,2.0,Hybrid,Automatic,2,White,411,49.7,2021-06-23
467,Ford,Model D,2011,20794,56922,1.4,Electric,Automatic,3,White,408,40.3,2022-12-21
468,Toyota,Model B,2014,17824,23409,2.3,Gasoline,Manual,3,Silver,362,41.7,2021-05-05
469,Honda,Model C,2022,23600,46639,1.4,Hybrid,Manual,5,Blue,196,34.7,2023-07-20
470,Honda,Model B,2008,24128,29692,1.5,Electric,Manual,4,Red,212,49.4,2020-08-16
471,Ford,Model C,2014,13519,99037,3.3,Gasoline,Automatic,5,Blue,224,35.6,2022-11-09
472,Chevrolet,Model A,2005,20709,195272,1.2,Hybrid,Automatic,2,Blue,231,44.4,2020-01-03
473,Chevrolet,Model C,2022,12423,198487,1.1,Gasoline,Automatic,3,Blue,220,47.8,2023-12-15
474,Ford,Model A,2009,25519,28074,3.9,Hybrid,Manual,5,Blue,296,47.2,2022-06-29
475,Chevrolet,Model C,2019,21235,156621,2.4,Electric,Manual,2,Grey,393,25.3,2020-11-02
476,Chevrolet,Model D,2021,20576,39963,1.5,Diesel,Automatic,4,Red,221,13.1,2021-03-07
477,Honda,Model A,2007,24613,62265,2.0,Diesel,Manual,3,Grey,381,16.9,2020-05-15
478,Chevrolet,Model C,2016,18071,26061,3.6,Gasoline,Automatic,5,Black,484,12.4,2021-05-29
479,BMW,Model D,2006,26398,199298,2.1,Electric,Manual,4,Blue,359,14.2,2020-07-11
480,Volkswagen,Model A,2005,13360,169882,3.0,Diesel,Automatic,5,White,138,17.4,2023-12-09
481,Toyota,Model D,2021,29883,123502,1.5,Hybrid,Manual,2,Silver,153,23.6,2022-05-22
482,BMW,Model B,2020,16143,32800,3.4,Diesel,Manual,4,Silver,260,31.7,2023-02-15
483,Chevrolet,Model B,2009,8126,126192,2.3,Gasoline,Automatic,5,Grey,388,38.5,2021-10-27
484,Honda,Model A,2019,17700,117228,3.5,Gasoline,Automatic,4,Grey,299,18.4,2020-07-27
485,Ford,Model C,2007,16906,198839,4.2,Electric,Automatic,2,White,375,36.9,2022-08-09
486,Chevrolet,Model A,2011,17647,38054,3.4,Gasoline,Automatic,4,Blue,115,38.2,2022-11-23
487,Honda,Model D,2015,21621,186469,2.2,Diesel,Automatic,5,Red,272,32.3,2021-10-10
488,Volkswagen,Model C,2014,27684,23233,2.0,Diesel,Manual,2,Black,347,46.1,2023-09-03
489,Chevrolet,Model B,2013,18658,166140,2.3,Diesel,Automatic,3,Silver,482,14.4,2020-04-29
490,Ford,Model C,2018,15158,75727,1.7,Diesel,Automatic,5,Black,317,17.1,2021-09-18
491,Honda,Model B,2017,12114,100610,1.7,Electric,Automatic,5,Red,186,27.1,2021-06-08
492,Honda,Model C,2006,16722,80453,4.2,Hybrid,Manual,2,Grey,181,15.1,2022-02-07
493,Honda,Model C,2007,6785,114135,2.5,Hybrid,Automatic,2,Silver,161,32.7,2023-01-17
494,Volkswagen,Model C,2011,14924,166904,2.7,Electric,Automatic,3,Black,386,25.9,2021-05-26
495,Chevrolet,Model D,2022,28708,118464,3.4,Gasoline,Automatic,5,Grey,141,21.4,2020-02-16
496,Volkswagen,Model D,2007,14236,23682,3.4,Hybrid,Manual,2,Red,111,16.8,2022-02-10
497,Toyota,Model A,2014,24401,164455,1.3,Gasoline,Manual,3,Black,420,23.4,2022-01-09
498,Toyota,Model A,2011,11414,68160,4.3,Hybrid,Automatic,3,Blue,333,34.3,2021-06-05
499,Chevrolet,Model B,2013,32397,33666,1.7,Gasoline,Manual,2,Grey,428,33.0,2023-07-31
500,Volkswagen,Model D,2021,32863,68817,3.9,Electric,Automatic,5,Red,230,16.5,2023-11-01
501,Ford,Model B,2015,24137,101198,4.1,Diesel,Manual,4,Black,214,15.0,2020-05-13
502,Honda,Model A,2011,33938,175714,3.9,Gasoline,Automatic,4,Blue,317,11.1,2020-09-04
503,Honda,Model B,2018,22490,51830,3.3,Diesel,Manual,3,Blue,236,10.5,2023-09-03
504,Chevrolet,Model A,2008,25379,20234,1.1,Gasoline,Automatic,4,Red,205,45.2,2021-03-11
505,Toyota,Model D,2010,28833,67616,2.4,Gasoline,Automatic,4,White,278,11.8,2023-04-14
506,Toyota,Model C,2014,21258,19221,3.4,Gasoline,Manual,2,Silver,115,39.2,2021-11-16
507,Honda,Model D,2011,9133,152482,2.5,Gasoline,Automatic,3,Red,341,44.9,2021-08-08
508,Chevrolet,Model B,2017,25522,11051,4.5,Gasoline,Automatic,5,Blue,433,13.9,2020-12-16
509,Volkswagen,Model B,2018,16696,120529,2.2,Diesel,Automatic,3,Blue,480,27.5,2020-05-22
510,Toyota,Model D,2008,17217,86918,2.2,Gasoline,Automatic,2,Red,486,48.5,2022-08-24
511,Volkswagen,Model D,2012,22085,88116,2.1,Diesel,Manual,4,White,325,43.4,2022-03-14
512,Toyota,Model A,2009,23963,132226,2.3,Electric,Automatic,5,Silver,341,29.6,2023-11-22
513,Toyota,Model B,2005,21050,197635,3.2,Hybrid,Manual,3,Black,240,40.5,2021-12-18
514,BMW,Model B,2008,24450,54757,3.8,Gasoline,Manual,4,Red,485,43.3,2021-10-04
515,Toyota,Model D,2007,15052,131008,3.7,Hybrid,Manual,3,Silver,298,23.9,2023-10-24
516,Ford,Model C,2013,19701,192329,4.2,Diesel,Manual,5,Silver,211,45.7,2021-05-15
517,Chevrolet,Model B,2012,25943,141379,4.5,Electric,Automatic,3,Grey,226,28.8,2021-01-04
518,Chevrolet,Model C,2005,32409,66889,4.3,Electric,Automatic,3,Blue,120,31.1,2023-11-06
519,Volkswagen,Model D,2010,34885,45944,1.1,Electric,Manual,3,Black,246,50.0,2023-01-14
520,Toyota,Model D,2013,23030,109555,3.9,Hybrid,Automatic,4,Red,188,43.7,2022-02-25
521,Ford,Model A,2011,25880,48134,1.8,Diesel,Manual,5,Blue,402,24.5,2022-01-08
522,Volkswagen,Model B,2008,33871,168395,1.5,Gasoline,Automatic,5,Grey,302,10.4,2022-08-07
523,BMW,Model C,2017,15304,35954,3.6,Gasoline,Automatic,4,Grey,184,35.0,2023-09-10
524,Volkswagen,Model A,2021,24407,196093,2.3,Diesel,Automatic,4,Blue,266,38.2,2021-06-05
525,Volkswagen,Model B,2006,25378,99959,1.2,Hybrid,Manual,4,White,483,36.0,2021-05-03
526,Toyota,Model A,2009,30135,14992,1.6,Gasoline,Manual,2,Silver,171,48.7,2021-01-31
527,BMW,Model D,2016,12040,11961,1.0,Diesel,Automatic,3,Red,397,44.5,2022-06-14
528,Volkswagen,Model B,2012,13424,22497,4.6,Gasoline,Manual,3,Red,108,28.0,2020-12-20
529,Ford,Model A,2010,20149,173623,1.1,Electric,Manual,5,Red,380,12.5,2022-08-04
530,Ford,Model A,2012,22644,196827,1.8,Gasoline,Automatic,3,Blue,357,29.0,2020-10-14
531,Chevrolet,Model C,2022,27860,23255,2.7,Hybrid,Manual,2,White,374,37.6,2022-09-24
